S. G. enterprises
Phone No: 8756917364


Stock Summary Report
Dated: 22/02/2023 - 02/05/2027
Total Stock Value: 864631.0


Name,Batch No.,Item Code,Purchase Price,Selling Price,Stock Quantity,Stock Value,Item Category Name,MRP
L key 5 no,,"",6.5,15.0,1.0 PCS,6.5,"",0.0
adapter,,"",200.0,200.0,0.0 PKT,0.0,"",0.0
agla chimta uplift,,"",166.0,195.0,10.0 BOX,1660.0,"",0.0
air meter,,"",142.0,170.0,6.0 PCS,852.0,"",0.0
ari patta,,"",5.6,7.5,30.0 PCS,168.0,"",0.0
bal diamond,,"",26.0,40.0,87.0 PKT,2262.0,"",0.0
bal dye,,"",5.0,10.0,52.0 PCS,260.0,"",0.0
bal tube rc,,"",41.0,42.0,0.0 PCS,0.0,"",0.0
baltube metro,,"",21.0,30.0,4.0 PKT,84.0,"",0.0
bamfad patti,,"",6.0,15.0,24.0 PCS,144.0,"",0.0
bamfad patti vale,,"",44.0,53.0,56.0 PAIR,2464.0,"",0.0
bamfad pita,,"",41.0,50.0,17.0 PAIR,697.0,"",0.0
barsati bedrock (25pc) ,,"",80.0,125.0,97.0 PKT,7760.0,"",0.0
barsati foam,,"",30.0,40.0,63.0 DOZ,1890.0,"",0.0
basket kid hd,,"",30.0,50.0,2.0 PCS,60.0,"",0.0
batam 26.400,,"",160.0,250.0,6.0 PCS,960.0,"",0.0
batam bhogal,,"",48.5,60.0,40.0 PCS,1940.0,"",0.0
batam bm zinc,,"",60.0,68.0,25.0 PCS,1500.0,"",0.0
batam khooti,,"",4.5,6.5,110.0 PCS,495.0,"",0.0
batam masco,,"",52.5,54.0,15.0 PCS,787.5,"",0.0
batam metro,,"",52.0,56.0,1.0 PCS,52.0,"",0.0
batam neelam,,"",42.23,43.0,175.0 PCS,7390.25,"",0.0
batam neelam zinc,,"",42.5,50.0,50.0 PCS,2125.0,"",0.0
batam ranger lee zinc,,"",43.0,50.0,40.0 PCS,1720.0,"",0.0
batam rinch,,"",67.0,75.0,1.0 PCS,67.0,"",0.0
batam rinch heavy ,,"",60.0,80.0,9.0 PCS,540.0,"",0.0
batam sant,,"",39.0,48.0,0.0 PCS,0.0,"",0.0
batam set china,,"",100.0,190.0,7.0 PCS,700.0,"",0.0
batam uplift,,"",40.0,44.0,175.0 PCS,7000.0,"",0.0
batam uplift zinc,,"",41.0,48.0,0.0 PCS,0.0,"",0.0
batti 4 no. ,,"",35.0,44.0,70.0 BOX,2450.0,"",0.0
batti 5no.,,"",38.0,45.0,0.0 BOX,0.0,"",0.0
bottle stand,,"",10.0,20.0,21.0 PCS,210.0,"",0.0
brake clip riksa heavy ,,"",138.0,160.0,11.0 BOX,1518.0,"",0.0
brake clip riksa heavy 6 pair,,"",83.0,95.0,0.0 BOX,0.0,"",0.0
brake clip std. ,,"",170.0,220.0,12.0 BOX,2040.0,"",0.0
brake guccha,,"",245.0,450.0,0.06 BOX,14.7,"",0.0
brake nalki,,"",275.0,375.0,0.0 BOX,0.0,"",0.0
brake nalki uplift heavy,,"",320.0,400.0,10.02 BOX,3206.4,"",0.0
chain Hercules ,,"",60.5,70.0,0.0 PCS,0.0,"",0.0
chain adjuster,,"",195.0,235.0,22.5 BOX,4387.5,"",0.0
chain adjuster pattu,,"",45.0,65.0,2.0 UNT,90.0,"",0.0
chain adjuster ramous,,"",220.0,250.0,0.0 UNT,0.0,"",0.0
chain agrasson heavy,,"",51.0,65.0,4.0 PCS,204.0,"",0.0
chain atlas ,,"",50.0,58.0,1.0 PCS,50.0,"",0.0
chain avon average,,"",42.0,56.0,5.0 PCS,210.0,"",0.0
chain bhogal,,"",60.0,70.0,5.0 PCS,300.0,"",0.0
chain dass,,"",71.0,77.0,74.0 PCS,5254.0,"",0.0
chain hero,,"",50.5,58.0,0.0 PCS,0.0,"",0.0
chain kw ,,"",65.5,77.0,20.0 PCS,1310.0,"",0.0
chain masco hd,,"",73.0,85.0,43.0 PCS,3139.0,"",0.0
chain metro,,"",59.0,66.0,0.0 PCS,0.0,"",0.0
chain moti hat,,"",66.0,80.0,1.0 PCS,66.0,"",0.0
chain nci 112L,,"",48.5,57.0,116.0 PCS,5626.0,"",0.0
chain phantom,,"",48.5,58.0,85.0 PCS,4122.5,"",0.0
chain pulkit metro 112,,"",57.0,65.0,57.0 PCS,3249.0,"",0.0
chain ranjit moti hd,,"",66.0,78.0,1.0 PCS,66.0,"",0.0
chain tubox 112L,,"",49.5,60.0,0.0 PCS,0.0,"",0.0
chain velo,,"",72.0,80.0,15.0 PCS,1080.0,"",0.0
chaincover 20 inch,,"",28.5,33.0,101.0 PCS,2878.5,"",0.0
chaincover 20.175,,"",17.0,35.0,5.0 PCS,85.0,"",0.0
chaincover 22 inch,,"",30.0,33.0,-6.0 PCS,-180.0,"",0.0
chaincover clip,,"",150.0,210.0,6.38 BOX,957.0,"",0.0
chaincover clip extra,,"",210.0,270.0,6.5 BOX,1365.0,"",0.0
chaincover half,,"",45.0,60.0,0.0 PCS,0.0,"",0.0
chaincover ranger,,"",18.0,33.0,19.0 PCS,342.0,"",0.0
chaincover sundaram 22inch,,"",30.18,33.0,163.0 PCS,4919.34,"",0.0
charra 1/4 bhogal,,"",305.0,380.0,8.0 BOX,2440.0,"",0.0
charra 1/4 bullet ,,"",170.0,230.0,7.0 BOX,1190.0,"",0.0
charra 1/4 hero low packing,,"",165.0,180.0,6.0 BOX,990.0,"",0.0
charra 1/4 mi,,"",166.0,230.0,1.0 BOX,166.0,"",0.0
charra 1/4 sumo ,,"",460.0,480.0,0.0 BOX,0.0,"",0.0
charra 1/4 tiya,,"",475.0,520.0,11.0 BOX,5225.0,"",0.0
charra 1/8 bullet,,"",185.0,260.0,0.5 BOX,92.5,"",0.0
charra 1/8 hero,,"",143.0,190.0,2.0 BOX,286.0,"",0.0
charra 5/32 bullet,,"",198.0,260.0,13.25 BOX,2623.5,"",0.0
charra 5/32 mi,,"",192.0,260.0,0.0 BOX,0.0,"",0.0
charra 5/32 tiya,,"",700.0,840.0,4.75 BOX,3325.0,"",0.0
check nut,,"",150.0,240.0,1.3878 BOX,208.17,"",0.0
